,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-751.7079,45.219948,1.1943897,20.697973,2.7882686,-0.57507694,-1.2355553,6.4469213,-3.224472,-0.4278977,-10.032489,1.5641617,-3.5574174,-7.909444,2.0802586,-4.4480247,-3.3167214,-0.39161998,-1.5841963,-3.7479146,157.28912,67.98976,21.564869,31.014502,20.917032,15.461024,9.773453,12.721096,11.633124,10.180328,16.692617,6.826532,7.271866,12.514111,7.421726,7.5332246,6.0503297,5.1534624,4.312457,6.627752
1,-398.1585,85.33443,8.116067,29.269934,-6.1771812,12.752304,-5.639249,-3.3669853,-7.8192763,-14.464681,-4.972511,-14.153949,-7.817444,-7.9260435,-4.7859025,-5.852845,-8.779729,-7.253253,-5.7274566,-7.5432653,152.84128,61.180153,34.874016,26.584406,26.53992,19.96141,15.259188,13.2399235,12.504168,13.379019,10.326563,10.235103,11.094439,8.100352,8.695482,7.719373,8.37594,7.922921,7.1159425,6.4489717
2,-456.1229,58.508495,-11.1269245,26.640148,-6.301207,6.9985642,-1.464256,-3.3105056,-1.0953376,-7.1384187,-0.8897127,-7.330667,-1.5668231,-1.4471626,-3.5589824,-2.822872,-5.6243825,-4.721614,-2.1175332,-4.3510585,157.75522,71.03383,33.882893,32.357933,23.201962,14.798258,10.938922,11.8935375,9.4154825,14.004048,10.249533,10.730536,9.483806,8.025394,8.533823,7.181291,7.9201293,6.547517,4.8355646,6.8488364
3,-402.3436,72.49101,-16.916603,32.55964,7.6101456,-1.4644905,-13.7818985,-9.72476,-5.8149924,-8.601821,-11.101988,-4.6324906,-0.9541914,-9.050616,-4.5891633,-5.7302756,-5.405943,-6.412074,-2.3340623,-4.4263325,145.82182,57.75648,42.109024,27.878632,19.836031,17.840166,17.60329,13.622251,11.953239,11.45802,11.421849,10.818419,8.286529,9.210968,9.310447,7.7179556,7.1492934,7.895793,7.170039,7.727168
4,-239.56198,160.82022,-25.305525,33.331295,-9.212658,4.1142964,-22.370018,-4.8007064,-14.76294,-6.9607677,-6.454324,-5.676784,0.30690676,-14.4178095,1.4404719,-10.145499,-6.83205,-8.92718,-4.616852,-6.512244,51.154285,38.059746,22.084911,23.770147,20.629198,18.490623,12.870247,11.576834,10.988758,10.132061,9.654623,7.5511336,6.84441,7.8825626,7.125831,7.595183,7.147668,5.6774893,6.186098,5.8220177
5,-410.70758,53.574024,-5.4103937,20.06561,-6.478572,8.10799,-10.794734,-2.5978436,-9.914685,-7.7923193,-6.0732527,-12.841809,-3.750824,-7.2183456,-3.9254928,-8.236007,-2.5558548,-4.9924417,-5.823978,-2.7718987,140.9097,52.876717,30.022318,23.49867,19.070026,19.403088,16.408487,10.66892,11.807146,10.17465,8.609629,10.413016,7.6879816,8.608396,7.1016006,9.611684,6.60076,6.9320884,7.3830223,6.0649004
6,-406.3087,50.052113,-5.456463,15.806582,-10.174146,9.193723,-10.845273,-5.7024803,-4.4548755,-11.498611,-2.4914427,-10.909673,-5.126483,-3.0332322,-5.4594445,-5.2580776,-5.2051287,-6.9176054,-4.552215,-4.027838,121.3032,48.3205,31.366047,21.443182,24.53211,18.453608,15.809178,11.355944,10.032033,10.844536,10.228956,11.955477,9.593272,7.7945223,8.076211,7.4602394,6.8644648,7.45963,5.847037,5.7545586
7,-455.8957,48.290283,1.4712719,18.593128,-4.379412,9.310286,-4.8100653,-0.89335907,-5.0184126,-7.304464,-4.241034,-9.427114,-3.5656295,-2.4900572,-4.1512003,-8.125967,-3.5181572,-4.5680285,-5.0193586,-3.4626663,151.51254,56.665405,29.954554,26.895966,17.797592,16.429596,16.036488,11.440641,8.55368,10.52099,7.835222,11.973749,7.700409,7.1863203,6.906852,10.703917,7.1740522,6.779869,7.599263,6.05421
8,-415.49893,51.766228,-2.2826414,23.036343,-13.540738,8.009391,-10.824569,-4.2714324,-4.7745957,-6.5681696,-6.9568024,-14.18589,-2.1267333,-6.116786,-4.024048,-5.598565,-5.424769,-6.1525245,-6.145864,-2.7747078,145.63435,51.187458,37.00249,28.118118,25.347689,20.404575,16.445724,12.487369,10.840739,9.954286,10.639997,15.555811,10.412019,9.087977,8.308842,7.6899195,8.050392,8.430067,8.564531,7.103292
9,-429.44287,62.328674,-2.779538,17.703905,-2.4492085,6.528908,-6.9965653,-7.3541017,-7.399359,-6.794051,-4.010817,-5.7186704,0.16104689,-4.476576,-1.7130753,-3.1371102,-4.7763968,-4.880901,-4.056225,-4.21037,149.07143,66.93381,27.894348,24.702291,17.748693,16.243343,12.787642,12.19792,10.457954,10.377687,10.467799,8.999036,8.272828,9.038922,7.685744,6.9252157,6.4096437,6.454665,5.86901,5.8863387
