,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
0,16.215115,1.061977,13.8999195,12.212759,19.507668,-1.7123505,0.99382734,-7.03294,6.8277426,2.452967,37.006218,32.25608,24.444204,-8.036521,-17.484589,15.189726,8.660724,-1.668162,15.254642,20.733501,21.681042,-11.161328,-11.680128,10.622032,-9.360313,-7.0570755,-26.275015,-0.1675582,35.497826,19.624071,-5.9993277,22.438324,7.1538863,-4.8937507,3.7705276,-13.870865,-30.82373,30.82492,25.342564,16.39684,7.0975885,-38.82498,25.972895,9.583132,29.011646,-29.402716,-12.019282,-23.1432,24.516457,14.314072,-18.337307,26.057653,2.9328306,38.21046,-9.43313,16.62984,-33.63371,47.982635,24.583546,-0.098357394,20.011377,12.255723,-14.8277645,1.8397672,30.622162,3.422395,12.342838,-28.929163,-8.737271,-58.994884,20.973694,15.938234,25.00954,-31.884043,-2.4785178,-44.95961,-25.003292,-27.767136,-8.031031,4.4293923,30.188114,24.222006,22.269043,2.2975435,41.45823,24.05415,17.897594,-8.405592,-5.927962,-1.9084203,3.2091668,33.30361,-24.566095,24.524685,19.450537,-19.508469,24.821114,-0.6652123,-10.228505,9.171298,-1.0424082,45.894703,-12.277615,-15.204959,16.73643,-25.470428,45.95922,7.6164436,-10.571008,5.15818,-30.793085,21.2685,-7.9427543,-10.553151,-45.586266,-6.343793,25.712421,-74.24112,-3.618712,-30.620453,17.66277,11.134479,14.089351,8.355762,32.616997,-30.219309,-19.263645,-4.939418,-35.149708,16.49728,-15.659538,-14.701727,7.481456,6.527674,23.982891,-15.767255,20.915506,-20.972786,10.850842,-11.262237,-15.508186,-7.993116,24.18404,6.7281814,8.27162,8.350708,-0.30543488,10.027626,2.486958,23.449963,2.3749125,-24.861992,-19.78433,-2.8297715,26.17743,-14.805593,-5.283714,0.3675906,27.025589,-19.010813,5.6435695,-14.4337845,-8.574266,-4.8589616,28.8025,6.4333444,2.2217414,15.909253,9.565185,-15.471643,25.221859,-16.620892,-60.707775,-27.062021,18.911427,-15.215483,4.7961416,6.06697,18.655252,-1.2405071,12.134021,28.281382,-31.310734,61.554085,19.623095,-12.589804,-3.8138452,-14.255536,-3.7028725,26.023998,-17.1444,13.521561
1,32.12167,24.710432,15.634439,-5.261723,5.2738547,-2.8102603,5.8987226,19.17855,10.271593,30.700977,18.124125,13.533722,30.578934,3.5162747,19.650524,0.8228388,3.485656,25.148123,6.2447066,-20.028233,-19.75384,6.872968,-8.567666,4.0072203,5.990161,17.205492,20.44518,-6.005793,19.954187,-25.550056,-4.011412,-10.415612,-34.250217,-7.7697105,-8.073027,-6.045626,-5.854373,8.892609,27.215046,45.76821,0.3990776,9.091291,-0.24819335,-20.163635,0.52335614,-34.31579,14.3642025,-8.302296,25.355587,-10.703558,25.020678,7.482085,-13.942942,9.218039,-16.227808,11.932841,-3.8544579,13.523053,21.732468,-2.9283454,46.328636,17.967358,-31.302155,10.826788,2.7712982,6.2292,12.105066,-11.60134,10.450858,-19.537956,-5.8183928,12.805651,37.316456,-10.2050495,-8.897253,-12.148914,-17.690203,-20.717896,-23.205511,-0.031072617,-11.921428,17.624172,31.3278,9.852638,4.3840284,7.2325196,-18.060946,-10.028744,-14.123736,6.737245,-25.461935,2.7962403,4.0561037,20.869314,19.729471,23.345856,39.692448,-27.793636,-18.037191,-7.308913,-1.5643024,17.400293,19.194262,-27.44347,18.346535,-17.85672,30.74171,11.4901705,-21.805637,7.0037737,-33.146145,-7.4713287,-2.6031132,1.8330469,-8.826163,11.928027,26.93547,-46.488342,5.095915,-9.577417,-9.294713,10.162382,-9.861569,27.385712,7.0338492,-2.2014496,-6.305865,4.1208525,-37.237114,-19.179981,-15.043793,-18.80014,17.816397,-6.009056,19.122139,-9.400159,23.550894,3.8271751,-8.233717,-28.069386,7.578986,-2.014457,22.025702,-0.30707693,16.70038,-18.492481,13.35156,5.1787763,-6.2520685,11.971388,-15.077951,-16.09454,14.396532,9.047986,17.451694,7.9438033,-31.162304,39.37322,-34.628395,-32.774902,-25.80013,11.62845,0.46591836,-21.475216,-0.14055595,-11.794716,-11.062615,-20.88468,0.94678724,20.435467,4.632945,-60.932526,-45.568962,3.0864944,30.156769,-13.384321,15.632669,18.195614,33.433174,-11.830639,15.495722,8.845461,-22.73256,27.951162,10.491208,21.298824,2.7734706,-26.048239,7.589277,1.5923092,10.215814,6.849767
2,26.142069,7.755536,20.857357,12.877907,-8.751472,2.1951575,-2.8728662,-6.227866,-5.1640577,33.17667,21.142675,5.924627,18.441504,-2.3635697,11.985597,2.8679633,23.92949,5.103797,10.945761,-1.1085441,-14.29565,0.6075214,-9.568048,22.62466,7.277302,5.7194686,-33.146996,3.4071183,13.29809,-6.867775,7.183193,4.495276,-35.875343,-29.055307,-19.556858,-7.081201,-2.2623577,10.040968,11.587394,23.607342,0.19241424,-8.811444,10.878279,-1.5618811,21.270489,-27.661097,7.50857,1.9797531,-0.40346718,15.673205,-11.09841,-6.388159,-15.459528,15.554003,21.163572,22.000568,-10.259753,17.792593,14.487457,16.83897,19.138092,-2.182883,-14.213163,0.72423494,10.240098,17.585674,11.5874195,3.8355765,-0.07123224,-24.882793,-1.0533844,24.368496,6.420794,-22.948635,-0.57207805,-16.309597,-35.19171,-15.122966,-16.761341,13.564815,22.849585,-1.1013858,29.237387,-17.05564,-2.2092106,14.4439745,11.551195,-2.6274445,-9.67053,-6.0147576,-12.772804,17.954716,-22.652048,38.845768,9.086877,3.6114006,17.806482,-6.385085,-19.62421,18.057774,-10.71057,26.822021,10.4467745,-5.011323,6.8803825,-24.012356,17.843473,5.410283,-21.37705,-4.4656515,-39.307724,-3.6856904,-16.24345,-13.071881,-21.077133,-13.869635,31.787466,-59.888794,-24.855694,-10.7181835,0.4741032,14.306688,-5.130576,-6.3179016,-0.07213917,-18.410034,-0.87286204,-4.5563135,-38.62439,-5.3624573,1.312535,-4.630416,3.8119278,13.850227,9.789291,-2.0323627,-1.8639412,-36.45022,11.8625,9.59149,-5.7516875,3.4719543,28.208408,-24.85419,6.7517304,-19.370117,-13.354396,20.337202,-7.2886705,13.970294,-23.68076,-21.250357,23.438374,-20.795506,33.48455,-16.971992,-7.489296,20.898258,-2.8278174,-20.612822,-2.0104063,38.314693,-11.54627,-12.282996,15.657506,10.146452,1.9594971,-11.532261,-6.305957,7.191432,-0.7323221,-29.19775,-33.335213,-17.397936,9.972684,-28.922611,1.3200939,29.506943,29.480518,1.8784536,-3.6780553,17.904215,-8.082418,41.596268,5.1199956,9.687636,-20.21672,4.8924146,10.433786,29.234217,-1.953626,-9.264313
3,36.12516,7.1254935,21.953417,-14.064314,3.7258866,9.506281,-5.6984696,11.358145,-12.531848,34.43232,17.574127,25.443033,2.1670096,2.127626,9.034314,-2.3095498,21.819431,15.5646715,16.45657,-21.315897,3.5238373,7.5386443,-11.618453,-11.65116,-10.360399,20.484789,-6.9671736,2.529519,17.383984,-22.766485,13.971769,-17.776104,-39.26816,-12.900106,-2.7859268,-6.7688837,9.954199,-6.97001,28.760807,41.977905,-9.734968,-10.23774,12.000591,-3.0298488,33.102654,-37.422512,3.2168057,-19.287422,10.705437,8.132225,12.989805,15.496509,1.0218962,8.013205,-14.553678,20.950832,-17.238173,27.825176,1.0403774,8.316668,41.4242,21.943253,-15.240492,38.74723,0.6496013,20.836779,-1.2118284,-9.55234,-16.92538,-3.0055423,0.8954689,7.1897345,29.69841,6.3238497,-5.208587,10.777086,-22.282368,-30.277409,-16.381275,2.0347056,-10.406942,26.642004,28.849567,-2.644894,10.12914,-3.5437107,-29.199497,5.734245,-5.202965,-12.3711605,-23.37798,-3.8455772,13.158377,33.823246,22.376413,-0.67450964,39.064907,-37.741894,-17.936718,9.854353,-6.3283234,1.999374,60.962654,-27.489883,22.217306,-2.4321253,45.792767,17.601614,-20.861843,-0.6409055,-14.612921,1.6680692,0.38030642,-5.164815,-0.5920188,-0.4604458,24.535877,-47.092873,3.3697364,-5.4846525,-21.120916,-15.934771,-22.443964,13.303423,0.7876107,-22.15996,-12.283839,5.595119,-18.267937,-4.4781804,-17.495356,-0.37934446,11.621209,-6.08677,0.32736677,25.742762,35.59826,-15.830879,-0.37004495,-11.880542,3.7869453,-1.878905,15.36967,-5.9919877,4.278549,-18.350267,5.715783,-0.26479626,-10.139849,-10.780773,-40.52507,-9.69031,12.85146,-16.140944,12.604559,-14.514981,-1.85772,23.435322,-17.327526,-32.219826,-12.747177,23.491892,-4.9782104,-16.561169,2.2925177,-23.832346,-21.688793,-0.45350876,-12.60873,7.4894624,-4.8690805,-55.459034,-30.595098,1.1672242,26.930817,0.37139377,31.222345,-3.1693301,8.2618265,-21.653082,24.48935,26.39404,-28.359241,33.282803,0.7642795,10.284001,5.786639,-12.988896,3.0615342,6.149802,6.505307,9.690088
4,9.951545,7.6285305,16.595633,-12.452263,-11.513551,-10.568922,15.876017,11.812292,-8.897044,6.3415604,-8.026491,5.554863,-4.262306,9.196371,-2.0800998,5.614248,-0.9958685,-5.551366,19.188297,6.821105,9.225427,-13.753294,-3.6350102,23.073103,-6.5994873,-5.392846,-22.091503,10.152588,-15.980749,21.332302,8.050008,-19.317625,11.923388,6.056753,-20.063866,18.102856,-21.551504,-0.46343535,17.330963,-24.905682,-9.533315,-11.123803,17.809052,-17.523623,-23.988728,-3.7930055,-6.496415,-0.25637323,-10.960455,6.7573686,-6.88883,5.0790215,6.6569095,1.8950846,-20.885967,-9.179399,36.33094,2.74823,-14.339516,3.3869343,-5.2473607,-7.65938,-11.656404,9.837857,-22.610907,-8.2214155,16.131668,5.611651,3.789754,-0.2870199,-5.8277617,-14.136833,-15.473619,8.326898,7.147128,4.79338,-9.142387,4.8095026,-26.146347,5.0002527,14.751123,-18.610256,44.875717,-4.572216,-0.5244293,37.425846,5.175433,-15.669899,-18.652414,4.7422104,-7.878344,-13.630721,5.475485,-17.878603,-13.551834,2.771828,-21.787771,23.703539,-10.844704,0.3007152,-17.250074,-5.0027895,11.347038,1.2221249,-0.97190344,-5.520219,7.551606,-4.7571936,29.748484,-4.7691803,-46.750298,-6.3347654,18.709692,-6.549012,-1.2891712,-3.9934313,22.111883,17.109192,-8.400719,8.957053,7.7736273,9.06485,32.06137,-27.491903,26.83633,-5.636879,9.093385,9.795069,-26.122728,1.7267326,-21.116274,-5.60964,-11.084274,-24.952908,2.0566518,9.108565,-0.6976402,-6.1467295,-27.146929,1.9670801,-1.7480676,-1.2126201,-12.571571,1.0244277,20.04327,-21.346981,-12.007458,-8.066917,-3.6912324,-25.114384,5.575996,4.2973228,28.290775,23.901657,-8.879593,17.18889,2.054609,34.656223,1.5666252,-11.062088,20.246216,9.194218,-63.187706,3.5641987,3.557723,19.21289,1.109496,0.54239714,-16.891014,17.317776,-1.1656973,-4.0180445,25.091726,13.321188,28.987066,9.36225,4.025838,23.663605,-16.404442,-4.7664337,7.932238,4.6789722,-19.925577,28.77431,6.3519278,12.108794,5.4145627,20.070408,5.899972,8.622739,7.5878024,-35.517075
5,11.314905,-4.0551023,27.066092,-10.110535,-17.172974,4.4618607,3.9403763,4.756788,-7.2306786,33.006897,22.883266,35.626415,8.34015,8.569447,-8.008199,1.8909155,8.798212,-30.212383,-18.22961,8.475888,-20.781784,-33.791924,-35.984825,15.183101,17.7203,28.69979,-0.33714294,20.722607,13.380472,-17.765299,-15.297191,9.804818,-45.3714,-3.4747925,-10.391333,-7.2444673,6.6772804,4.0182366,17.602497,32.727528,-22.087418,8.092775,-11.324689,1.9750618,33.633175,-24.120975,8.97035,33.81558,16.444668,-25.698664,8.955218,-0.40542048,-7.143155,11.687983,-15.311567,-2.1573167,-6.346657,44.60362,-7.9674315,-5.782659,16.24892,9.113436,-14.51565,-1.7394025,21.452732,13.497366,13.965612,-7.5321145,-5.4506865,-16.875956,-10.445049,-19.233454,57.986065,-20.101261,-13.0151415,-29.015097,-3.2561455,14.002739,19.157513,4.755138,12.343275,18.009949,21.133389,11.805857,40.70453,18.349085,-8.986751,10.483064,-1.0675852,-18.06387,-0.66330737,-11.376782,-10.893616,13.938456,23.80122,29.997742,18.703562,-6.121872,-31.763098,-0.51302224,0.8361629,35.31876,26.861084,-12.336357,9.138306,-4.489853,35.55297,8.667926,-33.359325,-13.354235,-26.210201,-38.484615,-21.524559,-18.79296,20.943588,15.192419,30.615955,-36.7481,51.390728,2.2038589,-21.536856,11.173467,6.2225914,-9.535966,46.05445,-26.10242,25.815628,17.029858,-3.7011185,-17.077873,-23.33559,10.395357,-10.86266,0.06967916,20.11282,22.664906,36.0545,12.1045,19.003923,4.4513903,-13.385195,15.257853,29.358587,3.5805671,-0.50788385,-28.908823,6.6833854,-13.648908,12.756205,4.4997587,-34.083614,-2.3509045,5.430873,-0.03310852,-12.469653,16.449852,-20.010088,34.635452,-33.76992,-14.157667,-19.265736,9.31058,-8.301875,-9.9503355,5.889745,-29.699488,-28.399319,-17.014166,29.483078,-18.244686,12.487334,-42.23583,-25.056734,4.125258,13.602422,2.2185006,16.139399,-17.563572,10.283721,-32.942863,-14.331888,3.2316391,-24.063854,5.1928544,-17.279196,-1.2866303,14.07309,-25.36342,12.058353,10.592466,26.394459,-16.099209
6,0.57424545,6.2887735,-9.67132,-9.124128,8.92848,-19.21275,10.380457,28.217545,-8.603872,34.49038,8.462604,3.9203715,39.096428,6.128541,36.999657,9.694742,2.0377736,-34.237953,-27.73081,-5.6043673,-33.19348,-16.14359,-7.277621,8.179612,15.223422,-16.19567,4.6347585,13.796346,33.49707,-19.109793,-24.03628,3.6885884,-57.300514,38.20565,-19.744017,-1.439728,-10.762706,10.571506,5.9686675,25.55845,-39.364956,6.44423,-5.153575,18.083597,0.29738504,-55.623425,12.226793,12.383494,-7.5103545,-30.899548,11.810034,2.2388675,-17.585274,5.3155785,-4.529213,11.321034,-0.9566282,32.71803,0.75840604,17.728117,22.845764,8.196009,-15.176756,-25.912424,40.02482,6.657869,11.706247,-26.775787,5.6203074,-41.42695,-52.993034,-8.558941,61.864937,-2.070682,-30.739294,-52.148293,0.40546608,20.878853,-7.267709,-17.271091,0.79585,-11.22182,-11.991925,16.581244,12.820761,44.57081,-12.115774,-11.86247,4.708886,-7.9321427,-12.755857,-24.40351,-15.296771,33.94944,-20.95697,38.593376,8.3363905,-23.836056,-12.019124,-17.074821,2.6942658,20.15726,-0.9602618,-24.090466,24.606207,2.9485767,-8.643784,1.0464284,-23.746655,10.533474,-22.929245,-23.481855,2.8839166,-44.28111,10.280036,2.144668,41.809025,-5.8445244,16.636074,-4.301132,-3.8742669,3.8642883,16.555084,12.940027,10.309428,-69.42735,-7.9023576,0.061624907,-19.656755,-31.544565,-31.532602,9.540768,13.021953,3.276109,31.168142,-12.0800295,9.648986,-5.697566,-7.2049,29.733349,14.205383,30.711985,15.496814,-35.639862,-24.606693,-16.105566,6.5838575,0.15963975,-2.4520454,-1.8031803,-14.955933,21.450333,-3.4369621,-5.745235,3.2095795,31.063522,-12.21507,31.817688,-30.171555,-23.300507,-31.740728,21.142155,0.24059603,-17.104858,-5.9084578,5.533494,-4.425044,-16.978344,12.433838,-9.29859,19.11995,-32.82653,-27.487164,-10.72714,-11.176196,22.12171,-3.9607894,19.438425,10.612231,-31.966532,-4.519956,-32.370766,7.2217393,-7.051303,3.1350496,9.704051,6.602248,-33.08558,17.946865,-48.708336,-6.957427,-30.66474
7,16.786694,-9.541804,18.298212,-25.567314,-7.206379,6.791382,10.516411,32.617012,6.695483,23.61771,16.348225,47.80643,11.435245,42.07558,-6.5399427,-2.916856,18.149794,-17.15855,-18.953175,23.89513,-20.528332,-32.515087,-1.3784282,16.152891,12.139122,-10.863394,-14.509621,13.096521,4.66852,-6.6270447,-30.652668,8.817347,-54.84242,18.44632,-2.7794783,20.94501,11.395547,0.6454348,32.643547,26.052158,-25.22567,-0.2866516,5.0165544,19.89716,21.639683,-46.35976,-9.745327,14.157593,-5.974039,-16.44025,9.134981,30.347492,-5.0511775,17.543858,-4.0824327,26.96284,-19.184254,53.548473,40.724064,-7.0713015,12.541581,8.567312,-17.00203,-15.822981,10.30482,40.92141,11.6363125,-14.460875,-18.959929,-22.332508,-9.123231,-22.130253,48.615185,1.8981826,-35.49181,-56.927498,-4.5054374,-7.785109,29.08952,-9.656142,-15.702146,-2.457827,13.373602,8.721206,1.9275706,0.7369007,-16.101583,-0.34315568,-5.2239375,-0.057177402,-1.2755406,17.449196,-9.453115,-2.7306724,4.675502,13.255116,24.101767,-11.333792,-63.376404,2.6833863,2.4095006,16.604164,5.0222673,-13.718012,34.204674,-34.710133,8.161898,2.9984784,-40.699055,2.221506,-28.808893,-52.403645,1.5845344,-30.257793,-3.527966,-16.639027,42.67994,-28.820904,44.403404,9.755077,-6.2116013,18.639618,6.299436,19.438152,50.517246,-36.251495,8.906981,1.9275105,-9.969577,-47.224236,-14.607259,-0.49251097,6.888793,-3.109527,16.87855,-7.5999804,28.44633,9.160555,13.741449,-4.9317904,-9.158057,5.1811323,37.44079,-28.30991,-21.136806,-31.317211,15.297397,-4.147843,13.497844,6.8947687,-1.9536018,17.867836,17.447279,13.094145,29.128132,8.743357,-20.479397,48.539845,-16.875647,-31.56784,-10.181709,-5.7359815,-0.83890325,-6.7322626,14.393835,-9.7983465,-23.67614,8.305736,23.635422,-27.666569,17.582088,-57.138355,-41.303497,-6.388409,-0.50194263,-8.20965,7.4307833,-4.3070307,-2.8326836,-42.63795,4.290181,4.3406477,-12.592199,11.417102,-4.50344,-16.183384,-2.271885,-11.525793,8.076551,-15.1027775,5.119195,-0.6220733
8,7.4326463,-14.242993,14.7488985,-17.29045,11.667737,-1.9925764,2.1447217,31.648281,10.2698765,0.5488812,22.762661,48.647194,-0.037299536,28.556652,30.222015,-16.218468,16.436342,-26.207966,-35.22501,3.7325974,-10.003743,-13.619779,9.548971,-11.006743,12.010938,7.6933565,-3.775378,0.9174284,15.569005,-34.814064,-30.465332,-7.392811,-66.72805,22.821915,-7.741081,21.297245,17.182037,-10.357216,13.988256,30.115881,-11.985811,1.4025893,7.3026323,26.561054,23.141687,-32.086082,-23.469555,0.9771427,1.6460464,-16.789436,-6.168013,8.847596,-9.399649,5.3927813,-3.7713478,24.37463,-1.8404938,26.668003,23.64508,4.906012,13.199625,-10.7762985,-1.7553017,-2.7572436,3.6983688,20.895466,19.667198,-9.794134,-11.941446,-20.393316,4.6552954,-1.815849,40.992134,-8.158237,-35.319386,-66.87092,15.103701,4.415967,6.9020324,-13.717952,-38.817665,-20.491388,15.889067,8.140808,13.406413,-10.277084,-22.689213,0.42254353,1.852071,10.407183,-22.446636,8.831294,-12.080797,4.6612635,-1.2995375,26.309032,16.999367,-25.714176,-35.652935,-1.4703166,-7.694911,8.771982,35.672325,-17.68388,21.35238,-18.876226,6.918401,-17.975515,-35.157055,14.911303,-32.19449,-52.418903,-5.689161,-33.597527,9.207191,-33.832497,43.85233,-40.33741,25.247803,4.8643866,-12.685702,22.990597,8.32956,5.0275955,38.241127,-62.102955,9.979659,-1.5754975,-10.100758,-45.638275,-2.73213,-9.582086,3.0822098,-18.003544,15.605616,1.6272892,17.11169,25.228249,-7.7322607,1.5979166,-0.027912999,8.788818,19.968487,-24.676294,-15.935684,-34.48317,10.471735,-34.48141,4.038441,-10.34879,3.326363,-8.6745,15.439753,0.06086893,34.76163,8.959248,-35.050213,54.332726,-13.815973,-29.154333,-17.52009,9.254463,-13.308662,-10.187071,15.665602,-15.212542,-23.945158,4.0540853,27.313766,-26.601355,7.212938,-39.382427,-36.80087,4.0945683,-6.6949043,11.810524,14.073465,-4.6581144,-7.8030953,-29.55842,-0.72848606,-13.553812,-16.163456,-6.819852,1.466365,1.1356529,-13.856157,-31.926361,19.50017,-4.78427,8.6437025,-15.370697
9,33.774963,8.030992,-4.9174285,-12.0464325,4.787305,3.006617,8.075693,14.885882,-0.47566444,25.986774,10.095919,8.360266,18.647308,6.7012224,5.2144423,7.828879,13.50411,0.73886144,7.4889784,3.5495644,4.9140143,22.411022,-1.2313484,16.006807,5.6875925,8.066518,-8.271011,-3.3718991,22.468494,6.734433,-5.715265,-1.5351138,-30.096668,-14.648697,-9.857981,1.4565573,2.9059157,9.164843,24.568714,41.669243,9.824728,-10.940314,10.062056,-8.067272,10.058727,-15.892845,-14.092702,-3.593338,21.091494,8.868396,13.459358,-10.794133,-4.5481887,26.063742,-13.4580965,20.467579,-5.197274,17.586176,3.2389302,5.237868,39.245193,-6.024915,-27.287577,14.398395,11.956175,19.164738,1.0877616,3.3693688,6.4356565,-28.464676,14.559473,11.592516,13.097995,-20.861948,-16.618996,-3.4593816,-29.54918,-6.8106613,-13.472092,4.5493193,22.341473,11.884855,24.038916,-11.730907,5.000334,2.7787821,-1.0439997,-17.568378,-11.430815,4.1766367,-11.205938,10.115831,-9.995724,18.889624,2.388649,-8.335058,28.551361,-2.2588122,0.99599266,4.7990127,-6.308177,2.3427076,24.452343,-5.973403,16.27772,-23.317204,40.61256,13.596476,-23.44992,1.420339,-24.293915,2.659442,-10.980154,-16.638315,-12.052529,-10.965666,22.319063,-68.71834,0.8723534,-26.185032,12.04203,16.313091,-7.4301896,-0.74204904,5.600558,-6.137593,-9.303485,4.945073,-25.775494,-0.49154368,2.6964195,-4.899782,-6.3297668,-6.510019,5.5979424,4.044624,18.054384,-14.11022,13.678149,-16.654947,-6.443773,5.93936,27.367222,-5.8303356,19.908752,-1.142952,2.2136962,11.670076,-16.943192,5.507693,-15.1330595,-21.55926,4.5681086,-17.602348,21.206717,-16.399313,-15.2209,20.794096,-8.449775,-28.792944,-9.697306,13.863333,2.1984568,-8.480922,20.573715,-3.9648209,-5.7758155,-11.655652,-15.985735,19.547916,-1.4124691,-43.608723,-26.266193,8.472005,27.480555,-7.649358,22.743483,23.86524,16.215126,-9.30659,13.005568,23.948145,-26.483974,33.18352,13.260057,11.7218075,1.0232826,-11.195166,7.562941,21.316677,-1.0257232,16.241333
